t,Bx_des,By_des,Bz_des,I1,I2,I3
0.0,5.0,0.0,0.0,-0.7448020561917484,0.5485326543636776,0.35941478738201804
0.010050251256281407,4.990034266657467,0.31552815656336825,0.0,-0.7442504878074817,0.6039610088072019,0.3172635879881288
0.020100502512562814,4.960176792966289,0.6297985253385878,0.0,-0.740732118662599,0.6569817975055021,0.2738476828673655
0.03015075376884422,4.910546599574902,0.9415583324485893,0.0,-0.7342609740085799,0.7073836640418674,0.22934014055303154
0.04020100502512563,4.841341526992536,1.249564811851542,0.0,-0.7248628497262416,0.7549656917915503,0.18391838116450132
0.05025125628140704,4.752837446938915,1.552590159370844,0.0,-0.7125752094957911,0.799538204834371,0.1377634691585809
0.06030150753768844,4.645387162638653,1.849426427082734,0.0,-0.6974470354556067,0.8409235240585728,0.09105939155346966
0.07035175879396985,4.519419002444118,2.138890338551048,0.0,-0.6795386329450659,0.8789566754418824,0.043992324502536324
0.08040201005025126,4.375435112392968,2.4198280057141934,0.0,-0.6589213901097729,0.9134860476863544,-0.0032501088584411366
0.09045226130653267,4.214009454506753,2.691119528621443,0.0,-0.63567749332747,0.94437399658548,-0.05047958633213172
0.10050251256281408,4.035785518809927,2.951683459682642,0.0,-0.6098995995890266,0.9714973937143682,-0.09750783736717111
0.11055276381909548,3.8414737581898533,3.200481114635536,0.0,-0.5816904671404941,0.994748117255767,-0.14414739355980746
0.12060301507537688,3.631848756323197,3.436520713045921,0.0,-0.5511625458585956,1.0140334830053426,-0.19021233595794826
0.1306532663316583,3.407746139958169,3.658861331835384,0.0,-0.5184375289925296,1.0292766138381058,-0.23551903618864237
0.1407035175879397,3.170059247861193,3.8666166560766952,0.0,-0.483645868058983,1.0404167461631824,-0.2798868884546378
0.15075376884422112,2.919735569706531,4.058958512105104,0.0,-0.44692625282411896,1.0474094721453118,-0.32313902948206913
0.16080402010050251,2.6577729691045073,4.235120168861494,0.0,-0.4084250584454858,1.0502269167275036,-0.3651030435493471
0.1708542713567839,2.3852157058244488,4.394399394307301,0.0,-0.36829576197770225,1.0488578487491929,-0.4056116497868011
0.18090452261306533,2.1031502730689207,4.536161254727407,0.0,-0.32669833056789643,1.0433077257169387,-0.44450336900729515
0.19095477386934673,1.812701066393123,4.6598406457621735,0.0,-0.2837985837797348,1.033598672049205,-0.4816231674096352
0.20100502512562815,1.5150259015343637,4.764944545079196,0.0,-0.239767532587998,1.0197693908819356,-0.5168230745887792
0.21105527638190955,1.211311399018916,4.8510539777049315,0.0,-0.1947806976786736,1.0018750097865035,-0.5499627733892752
0.22110552763819097,0.9027682539445105,4.91782568618185,0.0,-0.14901740977201386,0.9799868610150394,-0.5809101592506042
0.23115577889447236,0.5906264097945403,4.964993498893348,0.0,-0.10266009475768112,0.9541921971491504,-0.609541866814709
0.24120603015075376,0.27613015552254083,4.992369391101894,0.0,-0.05589354649163855,0.9245938432855357,-0.6357437616964999
0.25125628140703515,-0.03946683454856544,4.999844234470782,0.0,-0.008904190153634481,0.8913097871449887,-0.6594113954569922
0.2613065326633166,-0.35490649824008,4.987388232081694,0.0,0.03812066089825086,0.8544727087387303,-0.6804504219654237
0.271356783919598,-0.6689314005223951,4.955051037213961,0.0,0.08499355181359461,0.8142294514669676,-0.6987769734906066
0.2814070351758794,-0.98028974601989,4.902961555412021,0.0,0.1315276334996549,0.7707404367580217,-0.7143179950223055
0.2914572864321608,-1.2877403690344824,4.831327430630109,0.0,0.17753740745666227,0.7241790245814609,-0.7270115354899384
0.30150753768844224,-1.5900576811961917,4.740434217502548,0.0,0.22283946522925485,0.674730822384406,-0.736806994717716
0.31155778894472363,-1.8860365570178805,4.630644243039206,0.0,0.26725321952638026,0.6225929452058027,-0.7436653251317854
0.32160804020100503,-2.174497137878965,4.502395162283758,0.0,0.31060162409521214,0.5679732299180542,-0.7475591874153142
0.3316582914572864,-2.4542895352879674,4.3561982136922985,0.0,0.3527118794794478,0.5110894067282815,-0.7484730594910264
0.3417085427135678,-2.7242984146753506,4.192636181186888,0.0,0.3934161218486291,0.4521682312418499,-0.7464032983967556
0.35175879396984927,-2.9834474414442798,4.01236107100789,0.0,0.432552092152612,0.3914445805480092,-0.7413581548073609
0.36180904522613067,-3.2307035715560497,3.8160915126258423,0.0,0.4699637829337357,0.3291605169309203,-0.7333577401451173
0.37185929648241206,-3.465081169546659,3.6046098940735813,0.0,0.5055020602183128,0.26556432293838195,-0.7224339464096861
0.38190954773869346,-3.685645937558894,3.378759243118044,0.0,0.5390252580083952,0.20090951165476614,-0.7086303190472497
0.3919597989949749,-3.89151863972765,3.1394398667042918,0.0,0.570399743003997,0.1354538161234979,-0.6920018833655898
0.4020100502512563,-4.081878607071995,2.8876057620679427,0.0,0.5995004473046277,0.06945816194754376,-0.6726149251870688
0.4120603015075377,-4.255967008922473,2.6242608138223424,0.0,0.6262113669666317,0.0031856271634170723,-0.6505467266138991
0.4221105527638191,-4.413089877842735,2.350454792180015,0.0,0.6504260244289346,-0.06309960646504577,-0.6258852579590124
0.4321608040201005,-4.552620875987311,2.067279168260671,0.0,0.6720478929638365,-0.1291333065526885,-0.598728827070589
0.44221105527638194,-4.6740037918679915,1.775862763167141,0.0,0.6909907814608626,-0.19465224340083404,-0.5691856874481362
0.45226130653266333,-4.776754757575974,1.4773672481733502,0.0,0.7071791780098137,-0.25939523930807584,-0.5373736067122858
0.4623115577889447,-4.860464177621285,1.1729825139618444,0.0,0.7205485509133899,-0.32310420970121084,-0.5034193971485115
0.4723618090452261,-4.924798361700552,0.8639219273704992,0.0,0.7310456059294653,-0.385525191936053,-0.4674584101961607
0.4824120603015075,-4.969500854884439,0.5514174945563753,0.0,0.7386284987175714,-0.4464093576670301,-0.4296339968979139
0.49246231155778897,-4.994393459922218,0.2367149498577888,0.0,0.7432670016427116,-0.5055140047499588,-0.3900969364604786
0.5025125628140703,-4.999376947588287,-0.07893121006818288,0.0,0.7449426242715814,-0.562603524723985,-0.34900483520444214
0.5125628140703518,-4.984431452238966,-0.39426272703738174,0.0,0.7436486870808603,-0.6174503420160246,-0.30652149829924424
0.5226130653266332,-4.949616551002785,-0.7080225971247589,0.0,0.7393903480837501,-0.6698358211237491,-0.2628162767877247
0.5326633165829145,-4.895071026288573,-1.0189600814507584,0.0,0.7321845822686218,-0.7195511381608344,-0.21806339250318824
0.542713567839196,-4.821012312558059,-1.3258356919933925,0.0,0.7220601139317322,-0.7663981132902297,-0.1724412435700693
0.5527638190954774,-4.727735629568335,-1.6274261325510593,0.0,0.7090573021737534,-0.8101900007271166,-0.1261316932566805
0.5628140703517588,-4.615612805539303,-1.9225291751600537,0.0,0.6932279800165587,-0.8507522331623897,-0.07931934501487685
0.5728643216080402,-4.485090794937317,-2.2099684525278964,0.0,0.674635247781593,-0.8879231176391588,-0.032190806596543796
0.5829145728643216,-4.336689896783574,-2.488598147378414,0.0,0.6533532215534814,-0.9215544801083024,0.01506605381963751
0.592964824120603,-4.171001680589588,-2.7573075600155366,0.0,0.6294667377315747,-0.9515122560936959,0.062262856525863164
0.6030150753768845,-3.988686628187596,-3.015025535898074,0.0,0.6030710148471771,-0.9776770251125368,0.10921146122197643
0.6130653266331658,-3.7904715008562277,-3.260724735575933,0.0,0.5742712739945487,-0.9999444867204202,0.1557247169978945
0.6231155778894473,-3.5771464422368555,-3.493425729966533,0.0,0.5431823193887572,-1.0182258762835072,0.2016172083720361
0.6331658291457286,-3.3495618285892768,-3.7122009046464144,0.0,0.5099280807224035,-1.0324483188203903,0.24670599441181637
0.6432160804020101,-3.1086248789424764,-3.9161781575944516,0.0,0.47464111914550966,-1.0425551195031497,0.29081133798987213
0.6532663316582915,-2.8552960386534747,-4.104544375646312,0.0,0.4374620988378938,-1.0485059896595643,0.33375742226897076
0.6633165829145728,-2.590585150790389,-4.276548675802058,0.0,0.3985392262804846,-1.0502772073755804,0.37537305155949974
0.6733668341708543,-2.315547430601738,-4.431505398466044,0.0,0.3580276594608145,-1.0478617120578184,0.4154923337557034
0.6834170854271356,-2.0312792591189486,-4.568796840687182,0.0,0.31608888936777046,-1.0412691325791692,0.4539553416302755
0.6934673366834171,-1.7389138126599122,-4.6878757185041255,0.0,0.2728900962411346,-1.030525748895282,0.4906087503512064
0.7035175879396985,-1.4396165456558332,-4.788267348579647,0.0,0.22860348314211631,-1.0156743872849525,0.5253064486795311
0.7135678391959799,-1.1345805448079525,-4.869571540427689,0.0,0.18340558950143063,-0.9967742496320146,0.5579101214115948
0.7236180904522613,-0.8250217730939945,-4.931464191690013,0.0,0.13747658738134377,-0.9739006774292613,0.5882898007440234
0.7336683417085427,-0.5121742225830699,-4.973698580103284,0.0,0.09099956325698462,-0.9471448514451601,0.6163243843635124
0.7437185929648241,-0.1972849953812636,-4.9961063470063785,0.0,0.044159788179941734,-0.9166134282505559,0.6419021181961754
0.7537688442211056,0.11839066768311929,-4.99859816846739,0.0,-0.0028560207664861145,-0.8824281150542997,0.6649210418920576
