x,y,z,A11,A12,A13,A21,A22,A23,A31,A32,A33
-0.015,-0.015,-0.015,-2.7741715539506133,0.7028841507736837,2.2558930168928466,1.3447191788969435,0.9485599784471365,-1.447426198619704,3.2780394877136314,0.370643182084977,1.8967351417864993
-0.015,-0.015,-0.0075,-3.9523595071053723,0.8276396548722541,3.1023099514715535,1.902179158592995,1.1037398101554547,-1.9897492350669597,3.7035340012370184,0.2760999595855121,1.9271417200993513
-0.015,-0.015,0.0,-5.394040347174084,0.925690543654103,4.008071595201577,2.7850900873030575,1.2054072697770746,-2.4494072244946525,4.306435702356712,0.13412901811111622,1.993936448538772
-0.015,-0.015,0.0075,-7.712400321549172,1.1102327913285628,5.07054747792511,3.5001576784180615,1.35625694351841,-3.183518338913026,4.120157257481459,-0.01735545915231495,1.5677593199365514
-0.015,-0.015,0.015,-10.460886044250994,1.3012672346242107,6.254437044413141,4.7340230537159105,1.447504231437019,-3.8655055880714646,3.636597044551687,-0.16567649124333683,0.8443769065001466
-0.015,-0.0075,-0.015,-2.930114429455826,0.8791423905234675,1.947196943515065,0.709897597862063,1.0203424995376114,-1.5592542877810798,3.5363279074001364,0.5598872035009218,1.5164011738737355
-0.015,-0.0075,-0.0075,-4.353250458595762,1.1107384835230498,2.509739629473669,0.9641837855228754,1.2374078721900836,-2.0165154600186455,4.317597905777208,0.4574176476084743,1.4514620460770524
-0.015,-0.0075,0.0,-6.225822412946385,1.3322880372120092,3.2574628748876964,1.3412440012082472,1.4696333003129995,-2.600210697731864,4.725608026089644,0.3310749467254914,1.3520847355924377
-0.015,-0.0075,0.0075,-8.874009275899962,1.5968329629997882,4.065499524645638,2.046430013041209,1.611242970309923,-3.1324487098519826,5.111219604424365,0.11550915446271928,0.9394367019996144
-0.015,-0.0075,0.015,-11.548974718019405,1.8974911790320101,4.898467840900519,2.6493595382161144,1.7934502814466076,-3.5936989983747782,4.07537966652273,-0.07061356080154514,0.4429992500780411
-0.015,0.0,-0.015,-3.033090222788613,1.1053597265846997,1.5374209772785128,-0.032659163930619635,1.057077511122692,-1.5021843116211955,3.9052223103008856,0.7753474507361056,1.034637231722162
-0.015,0.0,-0.0075,-4.524430968576715,1.439085441763267,1.9844106438095706,0.014035776795730193,1.3706292044405968,-1.9455806059793108,4.5567905495563465,0.7504043088647346,0.9246671330982899
-0.015,0.0,0.0,-6.588855827374189,1.7704506334351955,2.5568087179857746,0.018634567675668637,1.656713558854344,-2.3973812198801148,4.80911396247134,0.6027585811462168,0.8534094617473317
-0.015,0.0,0.0075,-9.250650417516756,2.1853074114256454,3.1449795411729182,0.3942854499661662,1.9300823207172215,-2.8623379799251416,5.458929695676542,0.3374646130179796,0.4625003855498067
-0.015,0.0,0.015,-13.393127429675133,2.6354438032467704,3.7871894004393445,0.7612229013749805,2.141528078939678,-3.118200584531425,5.0510792587139255,-0.004959329322199411,-0.01714881926037637
